WKT,name,description
"POINT (6.0965247 50.759541)",Aachen,
"POINT (-2.1250276 57.1499012)",Aberdeen,
"POINT (4.9039604 52.3546656)",Amsterdam,
"POINT (22.8784263 37.9057618)",Ancient Corinth,
"POINT (4.3577769 51.2604823)",Antwerp,
"POINT (10.8614402 48.3583992)",Augsburg,
"POINT (100.6331108 13.7245995)",Bangkok,
"POINT (-4.1426898 53.220944)",Bangor,
"POINT (116.3974589 39.9388838)",Beijing,
"POINT (-5.9266323 54.59488)",Belfast,
"POINT (5.4291706 60.3651855)",Bergen,
"POINT (13.4247317 52.5068441)",Berlin,
"POINT (-8.4114212 41.5472749)",Braga,
"POINT (4.7643414 51.5599295)",Breda,
"POINT (-0.1061897 50.837418)",Brighton,
"POINT (3.22211 51.2607845)",Bruges,
"POINT (4.3754166 50.8551227)",Brussels,
"POINT (19.130303 47.4812134)",Budapest,
"POINT (-8.6438859 42.6026791)",Caldas de Reis,
"POINT (113.0245972 28.1761294)",Changsha,
"POINT (116.6150665 23.6579112)",Chaozhou,
"POINT (104.0755463 30.6585285)",Chengdu,
"POINT (107.745095 30.1807249)",Chongqing,
"POINT (6.9673223 50.9577029)",Cologne,
"POINT (-8.7158745 42.4272485)",Combarro,
"POINT (108.0786285 16.0667416)",Da Nang,
"POINT (4.3636978 51.9995349)",Delft,
"POINT (6.8143502 51.2384547)",Dusseldorf,
"POINT (-3.2053387 55.9412083)",Edinburgh,
"POINT (5.4515104 51.4484855)",Eindhoven,
"POINT (-4.7594541 36.9086356)",El Chorro,
"POINT (-3.8963384 52.9005518)",Snowdonia,
"POINT (7.0160182 51.4409073)",Essen,
"POINT (101.6869895 3.1385059)",Kuala Lumpur,
"POINT (-9.2632454 42.9081179)",Fisterra,
"POINT (113.106308 23.0088312)",Foshan,
"POINT (8.6365638 50.121212)",Frankfurt,
"POINT (116.3678258 27.9541811)",Fuzhou,
"POINT (3.7145606 51.0842146)",Ghent,
"POINT (-4.2324585 55.8554601)",Glasgow,
"POINT (6.5656933 53.2217785)",Groningen,
"POINT (113.2278442 23.1255978)",Guangzhou,
"POINT (110.2914047 25.2877098)",Guilin,
"POINT (106.7163849 26.5960545)",Guiyang,
"POINT (4.6428787 52.3837918)",Haarlem,
"POINT (120.1718902 30.2613905)",Hangzhou,
"POINT (105.8369637 21.0227396)",Hanoi,
"POINT (25.0186803 60.1101638)",Helsinki,
"POINT (106.6952276 10.754792)",Ho Chi Minh City,
"POINT (111.6478729 40.8170039)",Hohhot,
"POINT (114.1394 22.3527242)",Hong Kong,
"POINT (117.98962 30.0040995)",Hongcun Village,
"POINT (120.1034939 30.8675408)",Huzhou,
"POINT (106.829518 -6.2297465)",Jakarta,
"POINT (113.1131745 22.5644315)",Jiangmen,
"POINT (117.1953035 29.2963495)",Jingdezhen,
"POINT (115.9895324 29.7060856)",Jiujiang,
"POINT (103.7096273 1.544855)",Johor Bahru,
"POINT (116.1655687 5.9958196)",Kota Kinabalu,
"POINT (135.7188694 35.0981962)",Kyoto,
"POINT (99.8 6.3499998)",Langkawi,
"POINT (-1.5357323 53.8060025)",Leeds,
"POINT (4.4816697 52.1517368)",Leiden,
"POINT (-1.1492474 60.1527727)",Lerwick,
"POINT (-2.9185897 53.3932628)",Liverpool,
"POINT (-0.1015987 51.5286416)",London,
"POINT (113.5463889 22.1997218)",Macau Island,
"POINT (102.2515037 2.2373789)",Malacca,
"POINT (-2.2234628 53.4722454)",Manchester,
"POINT (8.5020751 49.5000403)",Mannheim,
"POINT (11.232013 43.8453421)",Florence,
"POINT (9.1288291 45.4020699)",Milan,
"POINT (12.5149105 41.851804)",Rome,
"POINT (12.5320377 45.4550332)",Venice,
"POINT (11.5418357 48.1549107)",Munich,
"POINT (-9.2143127 43.1024298)",Muxia,
"POINT (-4.4492669 36.718222)",Malaga,
"POINT (115.9043884 28.680929)",Nanchang,
"POINT (118.7377506 32.0992691)",Nanjing,
"POINT (120.8753317 32.0119568)",Nantong,
"POINT (-73.979506 40.6971415)",New York,
"POINT (135.4860374 34.6775981)",Osaka,
"POINT (10.7851165 59.8938549)",Oslo,
"POINT (-1.2475878 51.7504163)",Oxford,
"POINT (-8.6603102 42.7372785)",Padron,
"POINT (2.3470341 48.8588549)",Paris,
"POINT (-1.801692 53.29916)",Peak District National Park,
"POINT (100.3630021 5.354004)",Penang,
"POINT (-3.4492521 56.3904807)",Perth,
"POINT (104.8901867 11.5793642)",Phnom Penh,
"POINT (98.3706176 7.8394174)",Phuket,
"POINT (-8.6393456 42.4338608)",Pontevedra,
"POINT (116.7476549 29.23751)",Poyang County,
"POINT (14.4656239 50.0596696)",Prague,
"POINT (120.3648376 36.1360706)",Qingdao,
"POINT (118.5836792 24.9037349)",Quanzhou,
"POINT (-0.9960477 51.4514567)",Reading,
"POINT (-8.6088584 42.2827337)",Redondela,
"POINT (4.4908281 51.9279861)",Rotterdam,
"POINT (-8.5447697 42.8802049)",Santiago de Compostela,
